raw_string,canonical_competency_title,source,notes,active
Public and Population Health Assessment,Public and Population Health Assessment,canonical,,true
Public Health Assessment,Public and Population Health Assessment,faculty shorthand,,true
Delivery Organization and Financing of Health Services and Health Systems,"Delivery, Organization, and Financing of Health Services and Health Systems",punctuation variant,,true
"Delivery, Organization, and Financing of Health Services and Health Systems","Delivery, Organization, and Financing of Health Services and Health Systems",canonical,,true
Policy Analysis,Policy Analysis,canonical,,true
Legal and Ethical Bases for Health Services and Health Systems,Legal & Ethical Bases for Health Services and Health Systems,common variant,Maps written-out and to canonical ampersand title,true
Legal & Ethical Bases for Health Services and Health Systems,Legal & Ethical Bases for Health Services and Health Systems,canonical,,true
"Ethics, Accountability, and Self-Assessment","Ethics, Accountability, and Self-Assessment",canonical,,true
Ethics Accountability and Self Assessment,"Ethics, Accountability, and Self-Assessment",punctuation variant,,true
Organizational Dynamics,Organizational Dynamics,canonical,,true
"Problem Solving, Decision Making, and Critical Thinking","Problem Solving, Decision Making, and Critical Thinking",canonical,,true
Problem Solving Decision Making and Critical Thinking,"Problem Solving, Decision Making, and Critical Thinking",punctuation variant,,true
Team Building and Collaboration,Team Building and Collaboration,canonical,,true
Strategic Planning,Strategic Planning,canonical,,true
Business Planning,Business Planning,canonical,,true
Communication,Communication,canonical,,true
Financial Management,Financial Management,canonical,,true
Performance Improvement,Performance Improvement,canonical,,true
Project Management,Project Management,canonical,,true
Systems Thinking,Systems Thinking,canonical,,true
Data Analysis and Information Management,Data Analysis and Information Management,canonical,,true
Quantitative Methods for Health Services Delivery,Quantitative Methods for Health Services Delivery,canonical,,true
